"tel","start_time","end_time"
"0123456789","08:00:00+07:00","12:00:00+07:00"
"0123456789","13:00:00+07:00","17:00:00+07:00"
"0223456789","09:00:00+07:00","12:00:00+07:00"
"0223456789","14:00:00+07:00","18:00:00+07:00"
"0623456789","10:00:00+07:00","13:00:00+07:00"
"0623456789","14:00:00+07:00","17:00:00+07:00"
"0723456789","08:30:00+07:00","12:30:00+07:00"
"0723456789","13:30:00+07:00","17:30:00+07:00"
"0823456789","09:00:00+07:00","12:00:00+07:00"
"0823456789","13:30:00+07:00","16:30:00+07:00"
"0923456789","07:30:00+07:00","11:30:00+07:00"
"0923456789","12:30:00+07:00","16:30:00+07:00"
